Time,Open,High,Low,Close,Volume,vwap,transactions,otc,Date
08:00:00,1.01784,1.0198,1.01602,1.01753,39101,1.0184,39101,,2022-08-04
12:00:00,1.01745,1.02339,1.0165,1.0219,51934,1.0195,51934,,2022-08-04
16:00:00,1.02221,1.02537,1.0217,1.0245,27027,1.0239,27027,,2022-08-04
20:00:00,1.02459,1.02522,1.02383,1.02474,11795,1.0246,11795,,2022-08-04
00:00:00,1.02471,1.02484,1.0228,1.0237,21201,1.0235,21201,,2022-08-05
04:00:00,1.02364,1.02392,1.0221,1.0233,25676,1.0231,25676,,2022-08-05
08:00:00,1.02331,1.02386,1.0217,1.02314,27682,1.0229,27682,,2022-08-05
12:00:00,1.0231,1.02366,1.0141,1.01688,58484,1.017,58484,,2022-08-05
16:00:00,1.01694,1.01927,1.0165,1.01779,33987,1.0179,33987,,2022-08-05
20:00:00,1.01776,1.01843,1.01741,1.01749,3550,1.018,3550,,2022-08-05
08:00:00,1.01759,1.01799,1.01759,1.01799,2,1.0178,2,,2022-08-06
16:00:00,1.01698,1.01812,1.01698,1.01812,5,1.0178,5,,2022-08-07
20:00:00,1.0186,1.0186,1.01686,1.01719,5229,1.0173,5229,,2022-08-07
00:00:00,1.01718,1.0186,1.0158,1.01857,26474,1.0173,26474,,2022-08-08
04:00:00,1.01856,1.02148,1.017,1.02091,29962,1.0187,29962,,2022-08-08
08:00:00,1.02086,1.0209,1.01723,1.02002,31829,1.0188,31829,,2022-08-08
12:00:00,1.02008,1.0222,1.0182,1.02057,37868,1.0204,37868,,2022-08-08
16:00:00,1.02061,1.02125,1.0184,1.01919,26409,1.0196,26409,,2022-08-08
20:00:00,1.01915,1.02,1.01847,1.01976,9971,1.0195,9971,,2022-08-08
00:00:00,1.01978,1.02007,1.0187,1.0194,16907,1.0193,16907,,2022-08-09
04:00:00,1.01956,1.02152,1.019,1.02146,22359,1.0201,22359,,2022-08-09
08:00:00,1.02147,1.02471,1.0212,1.02198,32689,1.0231,32689,,2022-08-09
12:00:00,1.02207,1.02443,1.02187,1.02254,36506,1.0232,36506,,2022-08-09
16:00:00,1.02253,1.0232,1.0201,1.02079,21094,1.0214,21094,,2022-08-09
20:00:00,1.02079,1.0216,1.0204,1.02081,10216,1.0211,10216,,2022-08-09
00:00:00,1.0208,1.02192,1.0201,1.0214,14422,1.0211,14422,,2022-08-10
04:00:00,1.0214,1.0219,1.0203,1.02104,17500,1.0212,17500,,2022-08-10
08:00:00,1.02105,1.0261,1.0201,1.02582,22824,1.0228,22824,,2022-08-10
12:00:00,1.02581,1.03686,1.02438,1.033,43888,1.0326,43888,,2022-08-10
16:00:00,1.03337,1.03358,1.02092,1.03032,27290,1.0315,27290,,2022-08-10
20:00:00,1.03033,1.0305,1.02093,1.02988,12770,1.03,12770,,2022-08-10
00:00:00,1.02986,1.0304,1.028,1.02882,19161,1.029,19161,,2022-08-11
04:00:00,1.02885,1.03321,1.0274,1.0323,25819,1.03,25819,,2022-08-11
